status,copyright,response.docs.abstract,response.docs.web_url,response.docs.snippet,response.docs.lead_paragraph,response.docs.source,response.docs.multimedia,response.docs.keywords,response.docs.pub_date,response.docs.document_type,response.docs.news_desk,response.docs.section_name,response.docs.type_of_material,response.docs._id,response.docs.word_count,response.docs.uri,response.docs.print_section,response.docs.print_page,response.docs.subsection_name,response.docs.headline.main,response.docs.headline.kicker,response.docs.headline.content_kicker,response.docs.headline.print_headline,response.docs.headline.name,response.docs.headline.seo,response.docs.headline.sub,response.docs.byline.original,response.docs.byline.person,response.docs.byline.organization,response.meta.hits,response.meta.offset,response.meta.time
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,This word has appeared in seven articles on NYTimes.com in the past year. Can you use it in a sentence?,https://www.nytimes.com/2024/02/05/learning/word-of-the-day-rejigger.html,This word has appeared in seven articles on NYTimes.com in the past year. Can you use it in a sentence?,"The word rejigger has appeared in seven articles on NYTimes.com in the past year, including on Jan. 25 in “Airlines Hoping for More Boeing Jets Could Be Waiting Awhile” by Sydney Ember and Santul Nerkar:",The New York Times,,,2024-02-05T07:00:02+0000,article,Learning,The Learning Network,News,nyt://article/00000710-eb74-5d32-8782-7b437dadc32d,416,nyt://article/00000710-eb74-5d32-8782-7b437dadc32d,NA,NA,NA,Word of the Day: rejigger,Word of the day,NA,NA,NA,NA,NA,By The Learning Network,,The Learning Network,150927,0,24
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,"Scientists estimate that more than 5 billion sunflower sea stars, once a mighty predator, have died in the Pacific Ocean because of warming waters.",https://www.nytimes.com/2023/10/21/science/sunflower-sea-star-spawns.html,"Scientists estimate that more than 5 billion sunflower sea stars, once a mighty predator, have died in the Pacific Ocean because of warming waters.","Over the past decade, the sunflower sea star has gone from a mighty predator of the Pacific Ocean floor to nearing extinction. The Nature Conservancy estimates that 5.75 billion sunflower sea stars died over the span of three years, a 94 percent global decline.",The New York Times,,,2023-10-21T13:00:14+0000,article,Science,Science,News,nyt://article/000022a9-a390-53fc-ba0a-ae2addac1b15,741,nyt://article/000022a9-a390-53fc-ba0a-ae2addac1b15,D,5,NA,These Starfish Face Extinction. Scientists Are Helping Them Mate.,NA,NA,Endangered Starfish Are Helped to Mate,NA,NA,NA,By Remy Tumin,,NA,150927,0,24
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,"The cost of a daily routine — travel, coffee, food — is far pricier than it was when offices shut down two years ago.",https://www.nytimes.com/2022/04/20/business/return-to-office-inflation-covid.html,"The cost of a daily routine — travel, coffee, food — is far pricier than it was when offices shut down two years ago.","As the security software company KnowBe4 weighed whether to require a return to the office, executives knew to anticipate a certain set of concerns from employees. Less flexibility. More time in transit.",The New York Times,,,2022-04-20T09:00:37+0000,article,Business,Business Day,News,nyt://article/00013856-d994-5c20-9c6d-439d14ddfabf,1234,nyt://article/00013856-d994-5c20-9c6d-439d14ddfabf,B,1,NA,"With Inflation, Workers Are Facing Return-to-Office Sticker Shock",NA,NA,Workers Face Sticker Shock As They Return to the Office,NA,NA,NA,By Emma Goldberg,,NA,150927,0,24
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,Manhattan is playing host to two of the biggest political trials in American history. The courthouses are just 500 feet apart.,https://www.nytimes.com/2024/05/18/nyregion/trump-menendez-trials-courthouse.html,Manhattan is playing host to two of the biggest political trials in American history. The courthouses are just 500 feet apart.,"At one corner of Baxter Street in Lower Manhattan this week, former President Donald J. Trump transformed a shabby New York courthouse where he’s on trial into the backdrop for his comeback campaign. He vented to a lineup of cameras. The speaker of the House stopped by. Supporters waved purple and red Trump flags through a spring mist.",The New York Times,,,2024-05-18T07:00:38+0000,article,Metro,New York,News,nyt://article/000175b0-cbce-5f20-91cc-e673ed8b5c8d,1303,nyt://article/000175b0-cbce-5f20-91cc-e673ed8b5c8d,A,21,NA,"An Ex-President, a Senator and the Center of the (Legal) Universe",NA,NA,An Ex-President and a Sitting Senator Are on Trial Just a Block Apart,NA,NA,NA,By Nicholas Fandos,,NA,150927,0,24
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,"In a second day of cross-examination, Ms. Daniels resisted the implication she had tried to shake down Donald J. Trump by selling her story of a sexual liaison.",https://www.nytimes.com/2024/05/09/nyregion/trump-trial-stormy-daniels-hush-money.html,"In a second day of cross-examination, Ms. Daniels resisted the implication she had tried to shake down Donald J. Trump by selling her story of a sexual liaison.","Donald J. Trump, the onetime president, and Stormy Daniels, the longtime porn star, despise one another. But when Ms. Daniels returned to the witness stand at Mr. Trump’s criminal trial on Thursday, his lawyers made them sound a lot alike.",The New York Times,,,2024-05-09T20:25:27+0000,article,Metro,New York,News,nyt://article/000194c5-aeba-50c4-bbdd-540863bdacb8,1570,nyt://article/000194c5-aeba-50c4-bbdd-540863bdacb8,A,18,NA,"Stormy Daniels, Echoing Trump’s Style, Pushes Back at Lawyer’s Attacks",NA,NA,"Daniels, Echoing Trump’s Style, Pushes Back Against His Lawyer’s Attacks",NA,NA,NA,"By Jonah E. Bromwich, Ben Protess and Maggie Haberman",,NA,150927,0,24
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,Feeling stuck on today’s puzzle? We can help.,https://www.nytimes.com/2023/03/01/crosswords/spelling-bee-forum.html,Feeling stuck on today’s puzzle? We can help.,"WEDNESDAY — Hi busy bees! Welcome to today’s Spelling Bee forum. There are a number of terms that appear in both this article and other online discussions of the Spelling Bee; a glossary of those terms compiled by Monicat, a Times reader, can be found below. For more Spelling Bee conversation, check out Deb Amlen’s weekly humor column, “Diary of a Spelling Bee Fanatic.”",The New York Times,,,2023-03-01T08:00:03+0000,article,Games,Crosswords & Games,News,nyt://article/0001db0c-f9ce-5303-a765-87cd06cc880c,165,nyt://article/0001db0c-f9ce-5303-a765-87cd06cc880c,NA,NA,NA,Spelling Bee Forum,NA,NA,NA,NA,NA,NA,By New York Times Games,,The New York Times,150927,0,24
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,"Even as he struggled with drug and alcohol addiction, the “Friends” star Matthew Perry, who died at the age of 54, made it all look easy.",https://www.nytimes.com/2023/10/29/arts/television/matthew-perry-chandler-bing.html,"Even as he struggled with drug and alcohol addiction, the “Friends” star Matthew Perry, who died at the age of 54, made it all look easy.","A confession: When I received a news alert that the actor Matthew Perry had died, my mind adopted the particular cadence that Perry perfected as Chandler Bing, the character he played for 10 seasons on the NBC sitcom “Friends.” Here is what I thought, “Could this be any sadder?”",The New York Times,,,2023-10-29T16:38:38+0000,article,Obits,Arts,News,nyt://article/00022943-df71-516b-bdd3-15f47347763a,748,nyt://article/00022943-df71-516b-bdd3-15f47347763a,A,20,Television,The One Without Matthew Perry,An Appraisal,NA,Split-Second Timing That Made It All Look Easy,NA,NA,NA,By Alexis Soloski,,NA,150927,0,24
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,"Head and neck injuries are rare in track and field, but coaches and professional runners are starting to pay more attention to their effects and how to prevent them.",https://www.nytimes.com/2022/12/17/sports/running-hurdling-head-injuries.html,"Head and neck injuries are rare in track and field, but coaches and professional runners are starting to pay more attention to their effects and how to prevent them.","When the crashes were happening in the early 1990s, when Derrick Adkins was emerging as one of the world’s top hurdlers, he never thought that the most damaging and lasting injuries he experienced would be the ones he could not see.",The New York Times,,,2022-12-17T10:00:09+0000,article,Sports,Sports,News,nyt://article/00028ce5-75d8-58b5-932f-e66f6b2e96f6,773,nyt://article/00028ce5-75d8-58b5-932f-e66f6b2e96f6,B,7,NA,An Olympic Champion Hopes Runners Learn From His Head Injuries,NA,NA,Hoping Others Learn From His Head Injuries,NA,NA,NA,By Matthew Futterman,,NA,150927,0,24
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,Donald J. Trump failed to arrange a bond to halt collection of a $454 million judgment. The New York attorney general might begin to collect very soon.,https://www.nytimes.com/2024/03/19/nyregion/trump-bond-ny-fraud-case.html,Donald J. Trump failed to arrange a bond to halt collection of a $454 million judgment. The New York attorney general might begin to collect very soon.,Here’s the latest on Trump’s bond in the N.Y. civil fraud case.,The New York Times,,,2024-03-19T07:00:37+0000,article,Metro,New York,News,nyt://article/0002d6be-812b-59fb-8657-25b647989138,1608,nyt://article/0002d6be-812b-59fb-8657-25b647989138,A,15,NA,What We Know About Trump’s Quest for a Half-Billion-Dollar Bond,NA,NA,"At Deadline, Trump Has Few Options to Pay a $454 Million Bond",NA,NA,NA,By Kate Christobek and Ben Protess,,NA,150927,0,24
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,"More jewelers, large and small, are using precious metals recovered from electronic waste.",https://www.nytimes.com/2022/08/29/fashion/jewelry-electronic-mining-recycling.html,"More jewelers, large and small, are using precious metals recovered from electronic waste.","Twelve years ago, Eliza Walter was studying design at high school in England when she learned about e-mining, the process of recovering precious metals from electronic waste. During a school trip to a local foundry in Melton Mowbray, the owner explained to Ms. Walter and other students that gold was mined from the earth, but there also was a way to obtain it from landfills.",International New York Times,,,2022-08-29T09:02:08+0000,article,SpecialSections,Fashion & Style,News,nyt://article/00031034-56f5-5e90-bd01-a116ddbc674c,1091,nyt://article/00031034-56f5-5e90-bd01-a116ddbc674c,S,9,NA,Your Next Necklace May Have Gold From an Old Phone,NA,NA,Recycled and refined,NA,NA,NA,By Jessica Bumpus,,NA,150927,0,24
